bug_id,bug_fix_time,long_lived,y_hat,project_name
EPF-322017,42,N,N,eclipse
EPF-326475,50,N,N,eclipse
EPF-349088,1,N,N,eclipse
EPF-374011,52,N,N,eclipse
EPF-380102,0,N,N,eclipse
EPF-461158,142,N,N,eclipse
EPP-253369,127,N,N,eclipse
EPP-463376,16,N,N,eclipse
EPSILON-342886,48,N,N,eclipse
EPSILON-418799,151,N,N,eclipse
EQUINOX-123570,0,N,N,eclipse
EQUINOX-125042,75,N,N,eclipse
EQUINOX-156195,206,N,N,eclipse
EQUINOX-169361,2,N,N,eclipse
EQUINOX-169469,0,N,N,eclipse
EQUINOX-173572,15,N,N,eclipse
EQUINOX-177357,0,N,N,eclipse
EQUINOX-182569,1,N,N,eclipse
EQUINOX-183989,0,N,N,eclipse
EQUINOX-184448,0,N,N,eclipse
EQUINOX-184891,1,N,N,eclipse
EQUINOX-185654,2,N,N,eclipse
EQUINOX-188369,0,N,N,eclipse
