tn,fn,fp,tp,Resample,acc,sensitivity,specificity,balanced_acc,project,classifier,balancing,resampling,metric,max_term,feature,hyper1,value1,hyper2,value2,seed,row
872,7,7,834,Fold06,0.9918604651162791,0.9916765755053508,0.9920364050056882,0.9918564902555196,eclipse,svm,smote,cv10,Accuracy,200,long_description,sigma,0.03125,C,32,144,3
873,6,14,827,Fold07,0.9883720930232558,0.992797118847539,0.9842164599774521,0.9885067894124955,eclipse,svm,smote,cv10,Accuracy,200,long_description,sigma,0.03125,C,32,144,3
870,9,3,838,Fold08,0.9930232558139535,0.9893742621015348,0.9965635738831615,0.9929689179923482,eclipse,svm,smote,cv10,Accuracy,200,long_description,sigma,0.03125,C,32,144,3
870,9,10,831,Fold09,0.9889534883720931,0.9892857142857143,0.9886363636363636,0.988961038961039,eclipse,svm,smote,cv10,Accuracy,200,long_description,sigma,0.03125,C,32,144,3
866,13,4,838,Fold10,0.990122022080186,0.9847238542890717,0.9954022988505747,0.9900630765698233,eclipse,svm,smote,cv10,Accuracy,200,long_description,sigma,0.03125,C,32,144,3
865,14,5,836,Fold01,0.9889534883720931,0.9835294117647059,0.9942528735632183,0.9888911426639622,eclipse,svm,smote,cv10,Accuracy,200,long_description,sigma,0.03125,C,32,283,3
869,10,5,837,Fold02,0.9912841371295759,0.9881936245572609,0.994279176201373,0.9912364003793169,eclipse,svm,smote,cv10,Accuracy,200,long_description,sigma,0.03125,C,32,283,3
870,10,5,836,Fold03,0.9912841371295759,0.9881796690307328,0.9942857142857143,0.9912326916582236,eclipse,svm,smote,cv10,Accuracy,200,long_description,sigma,0.03125,C,32,283,3
873,6,5,836,Fold04,0.9936046511627907,0.9928741092636579,0.9943052391799544,0.9935896742218062,eclipse,svm,smote,cv10,Accuracy,200,long_description,sigma,0.03125,C,32,283,3
875,4,4,837,Fold05,0.9953488372093023,0.995243757431629,0.9954493742889647,0.9953465658602969,eclipse,svm,smote,cv10,Accuracy,200,long_description,sigma,0.03125,C,32,283,3
874,5,15,826,Fold06,0.9883720930232558,0.9939831528279182,0.983127109111361,0.9885551309696397,eclipse,svm,smote,cv10,Accuracy,200,long_description,sigma,0.03125,C,32,283,3
873,6,5,836,Fold07,0.9936046511627907,0.9928741092636579,0.9943052391799544,0.9935896742218062,eclipse,svm,smote,cv10,Accuracy,200,long_description,sigma,0.03125,C,32,283,3
875,5,12,829,Fold08,0.990122022080186,0.9940047961630696,0.9864712514092446,0.9902380237861571,eclipse,svm,smote,cv10,Accuracy,200,long_description,sigma,0.03125,C,32,283,3
874,5,9,833,Fold09,0.9918651946542708,0.9940334128878282,0.9898074745186863,0.9919204437032573,eclipse,svm,smote,cv10,Accuracy,200,long_description,sigma,0.03125,C,32,283,3
870,9,12,829,Fold10,0.9877906976744186,0.9892601431980907,0.9863945578231292,0.98782735051061,eclipse,svm,smote,cv10,Accuracy,200,long_description,sigma,0.03125,C,32,283,3
873,6,6,835,Fold01,0.9930232558139535,0.9928656361474435,0.9931740614334471,0.9930198487904454,eclipse,svm,smote,cv10,Accuracy,200,long_description,sigma,0.03125,C,32,1087,3
870,10,5,836,Fold02,0.9912841371295759,0.9881796690307328,0.9942857142857143,0.9912326916582236,eclipse,svm,smote,cv10,Accuracy,200,long_description,sigma,0.03125,C,32,1087,3
867,12,11,830,Fold03,0.9866279069767442,0.9857482185273159,0.9874715261958997,0.9866098723616078,eclipse,svm,smote,cv10,Accuracy,200,long_description,sigma,0.03125,C,32,1087,3
869,10,13,828,Fold04,0.9866279069767442,0.9880668257756563,0.9852607709750567,0.9866637983753566,eclipse,svm,smote,cv10,Accuracy,200,long_description,sigma,0.03125,C,32,1087,3
870,9,8,834,Fold05,0.990122022080186,0.9893238434163701,0.9908883826879271,0.9901061130521487,eclipse,svm,smote,cv10,Accuracy,200,long_description,sigma,0.03125,C,32,1087,3
875,5,3,838,Fold06,0.9953515398024404,0.9940688018979834,0.9965831435079726,0.995325972702978,eclipse,svm,smote,cv10,Accuracy,200,long_description,sigma,0.03125,C,32,1087,3
875,4,17,825,Fold07,0.9877977919814062,0.9951749095295537,0.9809417040358744,0.988058306782714,eclipse,svm,smote,cv10,Accuracy,200,long_description,sigma,0.03125,C,32,1087,3
866,13,6,835,Fold08,0.9889534883720931,0.9846698113207547,0.9931192660550459,0.9888945386879002,eclipse,svm,smote,cv10,Accuracy,200,long_description,sigma,0.03125,C,32,1087,3
872,7,5,836,Fold09,0.9930232558139535,0.9916963226571768,0.9942987457240593,0.9929975341906181,eclipse,svm,smote,cv10,Accuracy,200,long_description,sigma,0.03125,C,32,1087,3
